NILAI,PILIHAN 1,PILIHAN 2,KELULUSAN
585.5,UNAND - Pendidikan Dokter,IPB - Kedokteran Hewan,0
558.67,UI - ilmu komunikasi,UNPAD - ilmu komunikasi,0
489.38,UNP - Kimia,UNP - Fisika,0
546.56,UNRI - Hubungan Internasional,UNP - Pendidikan Bahasa Inggris,1
445.78,UNAND - hukum,UNP - perkantoran,0
566,UNAND - Pendidikan Dokter,UNAND - Teknik Elektro,1
556.89,UNAND - Ilmu hukum,UNP - Ilmu administrasi negara,1
500.25,UI - Fisika,UNDIP - fisika,0
574.25,UNAND - Agribisnis,UNAND - Ilmu Peternakan,1
639.89,UNAND - Ekonomi pembangunan,UNAND - Ilmu Administrasi Negara,1
587.38,UNPAD - Pendidikan Dokter Gigi,IPB - Bisnis,0
513.44,UNP - Akuntansi,UNP - ekonomi,0
590.22,UNAND - akuntansi,UNAND - hukum,1
524.78,UI - psikologi,UNDIP - psikologi,0
603.13,UNP - Pendidikan kimia,UNRI - Pendidikan fisika,1
509,UNPAD - Keperawatan ,UNAND - Keperawatan,0
449,UNAIR - psikologi,UNY - Psikologi,0
540.89,UNY - Manajemen,Universitas Negeri Surabaya - Manajemen,0
496.25,UNP - Pendidikan Matematika,UNP - Pendidikan Ilmu Pengetahuan Alam,0
575.13,UNSYIAH - Pendidikan Dokter,UNRI - Sistem Informasi,0
532.11,UNAND - Manajemen,UNAND - Hukum,1
449.33,UNAND - Ilmu Hukum,UNAND - Administrasi Negara,0
605.75,UGM - Matematika ,UNPAD - Matematika,1
505.75,UNAND - Farmasi,Universitas Mulawarman - Farmasi,0
596.78,UI - kriminalogi,UI - ekonomi islam,0
507.22,ISI Jogja - Desain Interior,UNP - Desain Komunikasi Visual ,1
437.38,UNP - Teknik Sipil,UNP - teknik mesin,0
447.13,UNAND - Kesehatan masyarakat,UNP - FMIPA,0
505.38,IPB - Manajemen,UNDIP - Teknik Industri,0
448.89,ITB - Sekolah Bisnis Management,UNP - Psikologi,0
495.25,UNAND - Farmasi,UNP - Matematika,0
492.88,UNAND - Farmasi,IPB - Gizi,0
512.11,UNAND - Manajemen ,UNP - Ekonomi Pembangunan ,0
433.88,UNAND - TEKNOLOGI HASIL PERTANIAN,USU - Teknik Lingkungan,0
588.88,UNP - Teknik Elektro,UNRI - Teknik Elektro,1
622.63,ITB - SITH-R,IPB - Biokimia,0
631,UI - Teknik Elektro,UNAND - Teknik Elektro,1
650.13,IPB - Ilmu Komputer,UI - Ilmu Komputer,1
661.38,ITS - Teknik Informatika,UNSRI - Ilmu Komputer,1
601.25,IPB - TEKNIK PERTANIAN DAN BIOSISTEM,UNAND - Teknologi Pangan,0
508.5,UNPAD - Teknik Informatika,UNIBRAW - Ilmu Komputer,0
562.13,UGM - Pendidikan Dokter,UNAND - Pendidikan Dokter,0
658.5,UNAND - Pendidikan Dokter,UNSRI - Pendidikan Dokter,1
539.67,UPI - Psikologi,USU - Psikologi,0
500.88,UNAND - Farmasi,UNAND - hukum,0
557.63,IPB - Ekonomi Sumberdaya Lingkungan,UNAND - Agribisnis,0
620,UI - Teknik Industri,UGM - Teknik Industri,0
481.38,UNAND - Teknik Industri,UNRI - Teknik Arsitek,0
501.63,UNAND - Teknik Lingkungan,UNAND - Agribisnis,0
646.75,UNAND - Pendidikan Dokter,USU - Pendidikan Dokter,1
463.38,UNAND - Pendidikan Dokter,UNAND - Farmasi,0
528.22,UNAND - Sosiologi ,UNP - Manajemen,0
509.63,UNAND - Kimia,UNP - Pendidikan Kimia,1
509.56,UNAND - Manajemen,UNP - Akuntansi,0
506,UNAIR - Pendidikan Dokter,UNSRI - Pendidikan Dokter,0
573.67,UNIBRAW - ilmu politik,Universitas Negeri Semarang - ilmu politik,1
529.11,UNAND - sistem informasi,UNAND - Akuntansi,0
444.56,Universitas veteran negeri Yogyakarta - manajemen ,Universitas veteran negeri jawa timur - manajemen ,0
564.5,UNAND - Keperawatan ,UNRI - ilmu keperawatan ,0
505.63,UNAND - Kebidanan,UNIBRAW - Kebidanan,0
436.56,UNP - Geografi,UNAND - Hukum,0
511.13,UNAND - teknik sipil,UNP - Teknik Sipil,0
476,UNAND - Teknik Lingkungan,UNP - Teknik Mesin,0
615.5,ITB - Fakultas Matematika dan Ilmu Pengetahuan Alam,UNAND - Matematika,1
560.56,UI - Akuntansi ,UNPAD - Ilmu Komunikasi,0
540.44,UNAND - sosiologi,UNP - geografi,0
469,UNP - pendidikan matematika,UNP - Pendidikan Guru Sekolah Dasar,1
585.33,UI - Bahasa dan Kebudayaan ,UNDIP - Ilmu Perpustakaan,1
497.88,UNDIP - Kesehatan Masyarakat ,UNAND - Kesehatan Masyarakat ,0
493.38,UNAND - Psikolog,UNIBRAW - Kebidanan,0
555.33,UNIBRAW - Akuntansi,UNIBRAW - Administrasi Publik,0
437.33,UNRI - Administrasi Niaga,UNAND - Administrasi,0
566.75,UNPAD - Statistika,UNAND - teknik lingkungan,0
416,UNP - administrasi negara ,UNP - pendidikan sosiologi antropologi,0
436.33,UNP - Manejemen (NK),Universitas Negeri Jakarta - Manajemen,0
620,UI - Teknik Industri,UGM - Teknik Industri,1
501.38,UNAND - Teknik Lingkungan,UNAND - Biologi,0
535.33,UNP - Pendidikan Geografi ,UNP - Pendidikan Sejarah,1
580.75,UI - Farmasi,UNAND - Pendidikan Dokter Gigi,0
553.56,UNRI - Akuntansi,UNP - Manajemen,1
446.25,UNAND - Ilmu Gizi,UNAND - Teknik Industri Pertanian,0
532.11,UNAND - hukum,UNAND - ilmu politik,1
513.44,UNAND - Ilmu Komunikasi,UNAND - Manajemen,0
486.38,UNP - teknik elektro,UNP - Pendidikan Kimia,0
